EstacaoCodigo;NivelConsistencia;Data;Media;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31
36160000;2;01/02/2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
36160000;2;01/01/2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;2;01/12/2009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;2;01/11/2009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36160000;2;01/10/2009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;2;01/09/2009;0.104;0.897;0.817;0.742;0.672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36160000;2;01/08/2009;1.194;1.954;1.826;1.702;1.584;1.472;1.364;1.261;1.472;1.702;1.702;1.584;1.472;1.364;1.261;1.163;1.069;0.981;0.897;0.817;0.742;0.672;0.672;0;0;0;1.069;1.702;1.702;1.472;1.261;1.069
36160000;2;01/07/2009;2.842;4.564;4.348;4.138;3.934;3.737;3.545;3.36;3.181;3.007;2.84;2.678;2.678;2.84;2.678;2.522;2.372;2.227;2.227;2.227;2.088;2.088;2.227;2.522;2.84;2.84;2.678;2.522;2.522;2.372;2.227;2.088
36160000;2;01/06/2009;17.611;44.982;38.256;34.384;42.382;51.682;36.677;30.76;25.463;22.457;19.677;17.612;15.684;14.77;13.462;12.227;11.063;9.97;9.279;8.617;7.986;7.383;7.383;6.809;6.809;6.263;5.744;5.252;5.252;5.252;4.787;
36160000;2;01/05/2009;229.919;341.991;742.627;636.007;351.52;246.996;211.348;213.264;213.264;282.912;323.284;525.276;416.274;380.802;323.284;257.335;213.264;198.155;169.428;154.153;142.718;113.673;94.169;79.999;72.706;63.466;55.843;49.655;75.103;70.344;57.977;50.664
36160000;2;01/04/2009;205.736;3.007;2.84;2.84;2.678;12.631;47.676;54.789;34.384;20.762;17.612;18.627;19.677;63.466;152.496;251.109;280.74;232.84;112.226;130.131;90.203;71.521;116.592;496.973;910.675;776.379;654.845;485.847;346.741;393.309;368.475;
36160000;2;01/03/2009;18.042;7.681;6.263;30.76;127.065;95.508;48.655;26.092;20.215;12.227;10.691;10.691;10.691;8.617;7.093;6.809;11.443;8.617;8.944;8.617;13.89;21.883;12.227;8.617;6.809;5.495;4.787;4.138;3.545;4.138;3.737;3.36
36160000;2;01/02/2009;3.35;1.954;1.954;1.826;1.702;1.584;1.472;1.364;1.261;1.163;1.069;0.981;2.678;2.227;2.227;1.472;3.545;2.227;12.631;6.263;3.545;3.545;4.348;4.787;4.787;4.138;4.564;7.093;7.383;;;
36160000;2;01/01/2009;0.254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.138;3.737
36160000;2;01/12/2008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
